product_name,image,cat_l0,cat_l1,cat_l2,cat_l3,barcode,brand,manufacturer,capacity,effect,price,source,href
Bột giặt Omo comfort hương hoa hồng pháp ngọt ngào túi 5.1kg + Nước giặt 412g,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Omo,,,,268000,,https://cooponline.vn/products/bot-giat-omo-comfort-huong-hoa-hong-phap-ngot-ngao-tui-5-1kg-nuoc-giat-412g/,
Bột giặt Surf hương nước hoa quyến rũ 5.3kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Surf,,,,197000,,https://cooponline.vn/products/bot-giat-surf-huong-nuoc-hoa-quyen-ru-5-3kg/,
Bột giặt sạch thơm Coop Happy 300g,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Coop Happy,,,,11900,,https://cooponline.vn/products/bot-giat-sach-thom-coop-happy-300g/,
Bột giặt Omo hương thơm mát túi 5.5kg + nước giặt 412g,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Omo,,,,268000,,https://cooponline.vn/products/bot-giat-omo-huong-thom-mat-tui-5-5kg-nuoc-giat-412g/,
Bột giặt Coop Select hương lavender 6kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Coop Select,,,,225000,,https://cooponline.vn/products/bot-giat-coop-select-huong-lavender-6kg/,
Bột tẩy lồng máy giặt Sandokkaebi 450g – CX,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,CoopXtra,,,,38500,,https://cooponline.vn/products/bot-tay-long-may-giat-sandokkaebi-450g-cx/,
Bột giặt Coop Select hương lavender 9kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Coop Select,,,,225000,,https://cooponline.vn/products/bot-giat-coop-select-huong-lavender-9kg/,290000
Bột giặt Lix sạch thơm 5.5kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Lix,,,,120000,,https://cooponline.vn/products/bot-giat-lix-sach-thom-5-5kg/,
Bột giặt Coop Select hương hoa cửa trên 9kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Coop Select,,,,225000,,https://cooponline.vn/products/bot-giat-coop-select-huong-hoa-cua-tren-9kg/,290000
Bột giặt Coop Select hương hoa cửa trên 6kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Coop Select,,,,165000,,https://cooponline.vn/products/bot-giat-co-op-select-huong-hoa-cua-tren-6kg/,225000
